Date,Open,High,Low,Close,Volume,Adj Close
2008-01-03,195.41,197.39,192.69,194.93,30073800,194.93
2008-01-02,199.27,200.26,192.55,194.84,38542100,194.84
2007-12-31,199.50,200.50,197.75,198.08,19261900,198.08
2007-12-28,200.59,201.56,196.88,199.83,24987400,199.83
2007-12-27,198.95,202.96,197.80,198.57,28411700,198.57
2007-12-26,199.01,200.96,196.82,198.95,25133300,198.95
2007-12-24,195.03,199.33,194.79,198.80,17150100,198.80
2007-12-21,190.12,193.91,189.89,193.91,35498600,193.91
2007-12-20,185.43,187.83,183.33,187.21,27644900,187.21
2007-12-19,182.98,184.64,180.90,183.12,29552800,183.12
2007-12-18,186.52,187.33,178.60,182.98,43664400,182.98
2007-12-17,190.72,192.65,182.98,184.40,36596200,184.40
2007-12-14,190.37,193.20,189.54,190.39,24082600,190.39
2007-12-13,190.19,192.12,187.82,191.83,30879200,191.83
2007-12-12,193.44,194.48,185.76,190.86,43773600,190.86
2007-12-11,194.75,196.83,187.39,188.54,39675900,188.54
2007-12-10,193.59,195.66,192.69,194.21,25799200,194.21
2007-12-07,190.54,194.99,188.04,194.30,38073800,194.30
2007-12-06,186.19,190.10,186.12,189.95,32136100,189.95
2007-12-05,182.89,186.00,182.41,185.50,31871500,185.50
2007-12-04,177.15,180.90,176.99,179.81,27635700,179.81
2007-12-03,181.86,184.14,177.70,178.86,34338200,178.86
2007-11-30,187.34,187.70,179.70,182.22,42421500,182.22
2007-11-29,179.43,185.17,179.15,184.29,37533100,184.29
2007-11-28,176.82,180.60,175.35,180.22,41104000,180.22
2007-11-27,175.22,175.79,170.01,174.81,47036800,174.81
2007-11-26,173.59,177.27,172.35,172.54,46634100,172.54
2007-11-23,172.00,172.05,169.75,171.54,16634200,171.54
2007-11-21,165.84,172.35,164.67,168.46,43493200,168.46
2007-11-20,165.67,171.79,163.53,168.85,55130100,168.85
2007-11-19,166.10,168.20,162.10,163.95,41196800,163.95
2007-11-16,165.30,167.02,159.33,166.39,49391300,166.39
2007-11-15,166.39,169.59,160.30,164.30,53095600,164.30
2007-11-14,177.16,177.57,163.74,166.11,51695400,166.11
2007-11-13,160.85,170.98,153.76,169.96,62034100,169.96
2007-11-12,165.28,167.70,150.63,153.76,63057700,153.76
2007-11-09,171.15,175.12,165.21,165.37,54458700,165.37
2007-11-08,186.67,186.90,167.77,175.47,67458500,175.47
2007-11-07,190.61,192.68,186.13,186.30,35473400,186.30
2007-11-06,187.05,192.00,185.27,191.79,34097400,191.79
2007-11-05,185.29,188.96,184.24,186.18,28720600,186.18
2007-11-02,189.21,189.44,183.49,187.87,35789800,187.87
2007-11-01,188.60,190.10,180.00,187.44,28751300,187.44
2007-10-31,187.63,190.12,184.95,189.95,29761100,189.95
2007-10-30,186.18,189.37,184.73,187.00,33550500,187.00
2007-10-29,185.45,186.59,184.70,185.09,19305500,185.09
2007-10-26,185.29,185.37,182.88,184.70,25219800,184.70
2007-10-25,184.87,185.90,181.66,182.78,34771500,182.78
2007-10-24,185.81,187.21,179.24,185.93,46017200,185.93
2007-10-23,188.56,188.60,182.76,186.16,64113000,186.16
2007-10-22,170.35,174.90,169.96,174.36,58910700,174.36
2007-10-19,174.24,174.63,170.00,170.42,46135000,170.42
2007-10-18,171.50,174.19,171.05,173.50,29417000,173.50
2007-10-17,172.69,173.04,169.18,172.75,40271900,172.75
2007-10-16,165.54,170.18,165.15,169.58,38136800,169.58
2007-10-15,167.98,169.57,163.50,166.98,38497500,166.98
2007-10-12,163.01,167.28,161.80,167.25,35292000,167.25
2007-10-11,169.49,171.88,153.21,162.23,58714000,162.23
2007-10-10,167.55,167.88,165.60,166.79,23842500,166.79
2007-10-09,170.20,171.11,166.68,167.86,39438800,167.86
2007-10-08,163.49,167.91,162.97,167.91,29854600,167.91
2007-10-05,158.37,161.58,157.70,161.45,33695400,161.45
2007-10-04,158.00,158.08,153.50,156.24,23462800,156.24
2007-10-03,157.78,159.18,157.01,157.92,24732800,157.92
2007-10-02,156.55,158.59,155.89,158.45,28288200,158.45
2007-10-01,154.63,157.41,152.93,156.34,29895300,156.34
2007-09-28,153.44,154.60,152.75,153.47,21967900,153.47
2007-09-27,153.77,154.52,152.32,154.50,23507100,154.50
2007-09-26,154.47,155.00,151.25,152.77,34831000,152.77
2007-09-25,146.84,153.22,146.82,153.18,42591100,153.18
2007-09-24,146.73,149.85,146.65,148.28,37577200,148.28
2007-09-21,141.14,144.65,140.31,144.15,40674300,144.15
2007-09-20,140.15,141.79,139.32,140.31,24708600,140.31
2007-09-19,143.02,143.16,139.40,140.77,36674300,140.77
2007-09-18,139.06,142.85,137.83,140.92,38003200,140.92
2007-09-17,138.99,140.59,137.60,138.41,28334700,138.41
2007-09-14,136.57,138.98,136.20,138.81,21690000,138.81
2007-09-13,138.83,139.00,136.65,137.20,23434400,137.20
2007-09-12,135.99,139.40,135.75,136.85,36527500,136.85
2007-09-11,137.90,138.30,133.75,135.49,34710200,135.49
2007-09-10,136.99,138.04,133.95,136.71,53137100,136.71
2007-09-07,132.01,132.30,130.00,131.77,51092000,131.77
2007-09-06,135.56,137.57,132.71,135.01,67902200,135.01
2007-09-05,144.97,145.84,136.10,136.76,83150800,136.76
2007-09-04,139.94,145.73,139.84,144.16,47030100,144.16
2007-08-31,139.49,139.65,137.41,138.48,31317400,138.48
2007-08-30,132.67,138.25,132.30,136.25,51270800,136.25
2007-08-29,129.88,134.18,129.54,134.08,41673600,134.08
2007-08-28,130.99,132.41,126.63,126.82,42120200,126.82
2007-08-27,133.39,134.66,132.10,132.25,25265700,132.25
2007-08-24,130.53,135.37,129.81,135.30,32565500,135.30
2007-08-23,133.09,133.34,129.76,131.07,30958500,131.07
2007-08-22,131.22,132.75,130.33,132.51,37920200,132.51
2007-08-21,122.21,128.96,121.00,127.57,46537400,127.57
2007-08-20,123.96,124.50,120.50,122.22,28689900,122.22
2007-08-17,122.01,123.50,119.82,122.06,42680800,122.06
2007-08-16,117.01,118.50,111.62,117.05,66667500,117.05
2007-08-15,122.74,124.86,119.65,119.90,35459000,119.90
2007-08-14,128.29,128.30,123.71,124.03,26393100,124.03
2007-08-13,128.32,129.35,126.50,127.79,26889700,127.79
2007-08-10,123.12,127.75,120.30,125.00,50383900,125.00
2007-08-09,131.11,133.00,125.09,126.39,40192700,126.39
2007-08-08,136.76,136.86,132.00,134.01,28860600,134.01
2007-08-07,134.94,137.24,132.63,135.03,33926300,135.03
2007-08-06,132.90,135.27,128.30,135.25,33041800,135.25
2007-08-03,135.26,135.95,131.50,131.85,24256700,131.85
2007-08-02,136.65,136.96,134.15,136.49,30451600,136.49
2007-08-01,133.64,135.38,127.77,135.00,62505600,135.00
2007-07-31,142.97,143.48,131.52,131.76,62942600,131.76
2007-07-30,144.33,145.45,139.57,141.43,39535300,141.43
2007-07-27,146.19,148.92,143.78,143.85,41467800,143.85
2007-07-26,145.91,148.50,136.96,146.00,78093900,146.00
2007-07-25,137.35,138.36,135.00,137.26,53435100,137.26
2007-07-24,138.88,141.00,134.15,134.89,64117600,134.89
2007-07-23,143.31,145.22,140.93,143.70,37017500,143.70
2007-07-20,141.65,144.18,140.00,143.75,41706200,143.75
2007-07-19,140.30,140.81,139.65,140.00,26174700,140.00
2007-07-18,138.19,138.44,136.04,138.12,27030600,138.12
2007-07-17,138.30,139.60,137.50,138.91,25355700,138.91
2007-07-16,138.39,139.98,137.50,138.10,33432600,138.10
2007-07-13,135.03,137.85,134.52,137.73,32414500,137.73
